Rank,Name,Seconds added,Label
181,Lionel Roux,3.36,player
182,Renzo Furlan,3.37,player
183,Illya Marchenko,3.4,player
184,Nicolas Kiefer,3.51,player
185,Christo Van Rensburg,3.55,player
186,Boris Becker,3.55,player
187,Martin Jaite,3.63,player
188,Marc Lopez,3.67,player
189,Martin Vassallo Arguello,3.69,player
190,Nicolas Lapentti,3.72,player
191,Pat Cash,3.73,player
192,Markus Hantschk,3.77,player
193,Attila Savolt,3.81,player
194,Shuzo Matsuoka,3.9,player
195,Jean Philippe Fleurian,3.92,player
196,Marcos Ondruska,3.93,player
197,Gilbert Schaller,3.93,player
198,Thierry Guardiola,3.97,player
199,Carlos Berlocq,4.08,player
200,Jan Frode Andersen,4.12,player
201,Roberto Jabali,4.35,player
202,Ivan Lendl,4.35,player
203,Jim Courier,4.51,player
204,Alex Corretja,4.64,player
205,Thomas Hogstedt,4.77,player
206,Hernan Gumy,4.86,player
207,Jimmy Connors,4.9,player
208,Andrei Cherkasov,4.92,player
209,Michael Chang,4.94,player
210,Joao Cunha Silva,5.1,player
211,Julian Knowle,5.15,player
212,John McEnroe,5.22,player
213,Lucas Arnold Ker,5.35,player
214,T.J. Middleton,5.6,player
215,Martin Stringari,5.68,player
216,Rafael Nadal,5.92,player
217,Nicolas Massu,6.21,player
218,Emanuel Couto,6.35,player
